metric_id,user_id,metric_date,weight_kg,waist_cm,bodyfat_est_pct
1,1,2025-01-01,87.29,77.71,25.08
2,1,2025-01-02,87.24,77.6,25.09
3,1,2025-01-03,87.17,77.57,25.1
4,1,2025-01-04,87.13,77.41,25.14
5,1,2025-01-05,87.04,77.56,25.09
6,1,2025-01-06,86.97,77.48,25.1
7,1,2025-01-07,86.92,77.43,25.13
8,1,2025-01-08,86.87,77.44,25.2
9,1,2025-01-09,86.8,77.31,25.2
10,1,2025-01-10,86.69,77.18,25.03
11,1,2025-01-11,86.6,77.15,25.01
12,1,2025-01-12,86.51,77.12,24.98
13,1,2025-01-13,86.42,76.95,25.03
14,1,2025-01-14,86.34,76.87,25.04
15,1,2025-01-15,86.19,76.78,25.05
16,1,2025-01-16,86.13,76.82,25.15
17,1,2025-01-17,86.02,76.61,25.11
18,1,2025-01-18,85.94,76.6,25.0
19,1,2025-01-19,85.87,76.56,25.04
20,1,2025-01-20,85.81,76.46,24.98
21,1,2025-01-21,85.73,76.4,24.93
22,1,2025-01-22,85.64,76.25,24.9
23,1,2025-01-23,85.55,76.14,24.88
24,1,2025-01-24,85.45,76.11,24.86
25,1,2025-01-25,85.39,76.14,24.87
26,1,2025-01-26,85.3,76.12,24.87
27,1,2025-01-27,85.18,76.07,24.77
28,1,2025-01-28,85.08,76.01,24.74
29,1,2025-01-29,85.03,76.01,24.66
30,1,2025-01-30,84.95,75.78,24.65
31,1,2025-01-31,84.89,75.78,24.54
32,1,2025-02-01,84.79,75.63,24.48
33,1,2025-02-02,84.67,75.63,24.42
34,1,2025-02-03,84.61,75.55,24.43
35,1,2025-02-04,84.49,75.57,24.34
36,1,2025-02-05,84.45,75.61,24.29
37,1,2025-02-06,84.39,75.57,24.29
38,1,2025-02-07,84.28,75.5,24.15
39,1,2025-02-08,84.2,75.41,24.2
40,1,2025-02-09,84.15,75.5,24.12
41,1,2025-02-10,84.03,75.37,24.09
42,1,2025-02-11,83.98,75.24,24.05
43,1,2025-02-12,83.92,75.22,24.11
44,1,2025-02-13,83.86,75.08,24.11
45,1,2025-02-14,83.77,75.04,24.12
46,1,2025-02-15,83.7,75.04,24.03
47,1,2025-02-16,83.66,75.11,24.09
48,1,2025-02-17,83.58,75.12,23.99
49,1,2025-02-18,83.5,75.0,24.0
50,1,2025-02-19,83.41,74.86,23.95
51,1,2025-02-20,83.32,74.86,23.93
52,1,2025-02-21,83.22,74.82,23.91
53,1,2025-02-22,83.15,74.88,23.86
54,1,2025-02-23,83.1,74.84,23.81
55,1,2025-02-24,83.02,74.8,23.75
56,1,2025-02-25,82.95,74.65,23.66
57,1,2025-02-26,82.91,74.4,23.64
58,1,2025-02-27,82.82,74.37,23.56
59,1,2025-02-28,82.7,74.24,23.53
60,1,2025-03-01,82.6,74.05,23.55
61,1,2025-03-02,82.5,73.8,23.58
62,1,2025-03-03,82.41,73.66,23.53
63,1,2025-03-04,82.35,73.67,23.46
64,1,2025-03-05,82.29,73.58,23.42
65,1,2025-03-06,82.19,73.4,23.52
66,1,2025-03-07,82.1,73.31,23.57
67,1,2025-03-08,82.03,73.28,23.47
68,1,2025-03-09,81.94,73.31,23.45
69,1,2025-03-10,81.89,73.24,23.48
70,1,2025-03-11,81.84,73.13,23.5
71,1,2025-03-12,81.82,73.13,23.38
72,1,2025-03-13,81.79,73.09,23.33
73,1,2025-03-14,81.72,72.92,23.44
74,1,2025-03-15,81.66,72.89,23.39
75,1,2025-03-16,81.54,72.62,23.5
76,1,2025-03-17,81.46,72.48,23.45
77,1,2025-03-18,81.33,72.59,23.4
78,1,2025-03-19,81.25,72.55,23.38
79,1,2025-03-20,81.17,72.44,23.33
80,1,2025-03-21,81.09,72.52,23.27
81,1,2025-03-22,80.99,72.41,23.16
82,1,2025-03-23,80.92,72.45,23.18
83,1,2025-03-24,80.85,72.36,23.13
84,1,2025-03-25,80.78,72.2,23.11
85,1,2025-03-26,80.67,72.2,23.08
86,1,2025-03-27,80.58,72.16,22.99
87,1,2025-03-28,80.51,72.23,22.98
88,1,2025-03-29,80.43,72.01,23.02
89,1,2025-03-30,80.34,71.89,23.08
