feedback_id,session_id,exercise_id,difficulty_1_10,mmc_1_10,discomfort_1_10
1,1,56,6.0,5.6,2.7
2,1,141,7.4,6.5,2.5
3,1,408,7.3,5.8,2.2
4,1,91,6.5,9.6,3.0
5,1,14,7.2,6.7,3.0
6,2,261,5.9,7.9,2.3
7,2,185,8.0,8.4,1.2
8,2,330,8.0,8.0,2.0
9,2,80,6.2,8.4,2.8
10,2,265,6.6,7.8,1.0
11,2,325,6.6,8.0,1.6
12,3,20,5.4,8.3,1.3
13,3,111,7.3,7.8,2.2
14,3,243,3.8,7.4,2.1
15,3,266,6.7,9.8,1.6
16,4,228,6.6,7.0,1.7
17,4,206,8.5,7.6,1.2
18,4,32,7.4,8.4,1.4
19,4,175,6.6,7.0,2.1
20,5,70,5.9,6.7,2.5
21,5,229,7.2,7.4,0.8
22,5,171,5.7,9.0,2.5
23,5,260,8.0,6.9,1.5
24,5,340,6.8,9.5,1.8
25,5,127,6.7,8.8,2.1
26,6,272,7.2,9.0,2.5
27,6,149,7.6,6.5,2.4
28,6,94,7.1,7.6,3.0
29,6,315,6.6,7.2,3.0
30,6,327,4.3,8.0,2.3
31,7,249,6.5,8.7,3.2
32,7,107,6.0,10.0,4.7
33,7,375,5.1,6.4,1.3
34,7,69,6.2,9.1,3.6
35,8,169,5.6,9.0,3.1
36,8,166,6.7,10.0,1.0
37,8,4,7.2,6.7,1.7
38,8,242,7.2,7.3,1.4
39,8,7,6.4,7.0,0.6
40,9,12,6.0,8.6,3.2
41,9,234,7.4,9.0,0.9
42,9,335,5.5,8.4,3.6
43,9,307,7.9,8.6,2.8
44,9,26,5.5,7.8,2.3
45,10,242,5.2,7.6,2.1
46,10,265,6.3,7.7,2.0
47,10,166,3.3,7.4,0.2
48,10,7,7.5,9.9,2.7
49,10,392,6.6,6.7,1.8
50,11,96,6.7,8.8,2.5
51,11,299,7.6,8.6,1.5
52,11,279,8.0,7.1,1.9
53,11,201,8.3,6.3,3.3
54,11,56,6.4,8.3,3.0
55,11,343,6.9,6.9,2.9
56,12,46,5.4,10.0,2.0
57,12,278,4.3,7.0,1.9
58,12,79,5.2,5.7,0.0
59,12,4,7.4,5.6,0.0
60,12,204,7.6,7.9,2.6
61,12,404,8.3,7.2,2.3
62,13,95,6.6,7.5,2.8
63,13,214,6.0,8.8,2.7
64,13,273,6.7,6.1,1.7
65,13,247,5.9,8.4,2.6
66,14,37,6.6,9.7,1.7
67,14,72,6.1,7.5,2.7
68,14,201,6.1,9.6,4.2
69,14,100,7.0,10.0,3.6
70,14,126,6.7,7.5,2.8
71,15,278,4.0,8.0,1.2
72,15,416,7.9,5.7,1.5
73,15,185,8.0,10.0,1.2
74,15,70,6.8,8.6,1.5
75,16,351,8.3,7.6,1.8
76,16,386,4.6,9.0,3.5
77,16,172,6.0,10.0,1.6
78,16,12,8.6,7.7,3.8
79,17,71,7.9,10.0,3.8
80,17,377,5.8,8.9,2.9
81,17,312,6.4,7.0,0.6
82,17,403,6.7,8.0,0.6
83,17,48,6.4,6.6,1.1
84,18,163,6.4,5.3,1.3
85,18,217,6.3,9.5,3.6
86,18,397,5.7,7.9,2.0
87,18,70,5.8,8.1,2.2
88,19,256,5.5,7.5,2.0
89,19,267,7.3,6.7,3.2
90,19,376,8.5,5.5,1.6
91,19,34,6.9,9.0,2.8
92,19,207,5.3,8.4,2.0
93,20,377,5.5,8.8,2.4
94,20,344,9.3,10.0,2.1
95,20,364,5.7,6.5,0.0
96,20,66,6.0,7.6,0.9
97,21,301,4.5,7.5,1.8
98,21,155,6.4,8.3,0.8
99,21,229,7.0,8.8,3.2
100,21,128,8.3,8.4,0.0
101,21,384,8.1,8.0,2.0
102,22,12,5.8,8.3,3.0
103,22,394,8.7,7.8,3.5
104,22,90,7.2,7.3,2.1
105,22,190,3.9,8.4,0.9
106,22,406,6.4,9.1,3.5
107,23,279,6.5,7.5,1.6
108,23,121,7.1,7.9,1.2
109,23,371,6.1,9.3,2.1
110,23,20,7.2,7.4,1.0
111,23,253,5.0,6.7,2.6
112,23,173,7.1,7.8,3.1
113,24,351,5.5,6.7,1.4
114,24,328,6.3,8.1,2.6
115,24,413,8.0,7.7,2.8
116,24,315,5.2,8.1,2.7
117,25,70,7.8,9.1,2.6
118,25,291,6.6,10.0,2.4
119,25,65,6.8,9.0,2.1
120,25,216,6.4,6.8,3.3
121,25,151,6.6,8.3,2.4
122,26,394,7.7,7.4,1.4
123,26,181,7.0,6.2,1.0
124,26,109,6.7,10.0,4.3
125,26,206,2.9,7.7,0.5
126,26,29,7.7,8.8,5.7
127,27,280,6.1,7.6,2.6
128,27,353,6.9,6.3,2.7
129,27,291,6.7,5.9,1.9
130,27,127,7.7,8.5,2.4
131,27,231,6.4,5.7,4.1
132,28,9,4.9,6.7,2.6
133,28,417,6.7,7.7,2.6
134,28,273,7.8,7.5,2.4
135,28,351,4.6,7.8,2.7
136,28,134,6.9,8.1,2.4
137,29,220,9.9,7.2,1.0
138,29,323,7.2,8.7,4.5
139,29,261,6.1,6.0,3.1
140,29,70,6.8,5.8,1.6
141,30,382,8.1,8.5,3.4
142,30,327,7.0,5.8,2.6
143,30,227,6.6,7.2,3.1
