meal_log_id,user_id,meal_date,meal_name,food_id,grams
1,1,2025-01-01,Lunch,2989,22.2
2,1,2025-01-01,Lunch,720,57.5
3,1,2025-01-01,Dinner,2991,20.0
4,1,2025-01-01,Breakfast,2982,370.0
5,1,2025-01-01,Lunch,30,127.1
6,1,2025-01-01,Snack,2830,41.3
7,1,2025-01-01,Dinner,230,32.1
8,1,2025-01-01,Lunch,1008,86.2
9,1,2025-01-01,Lunch,614,325.6
10,1,2025-01-01,Lunch,766,303.8
11,1,2025-01-02,Lunch,2782,31.4
12,1,2025-01-02,Breakfast,857,229.0
13,1,2025-01-02,Dinner,34,389.8
14,1,2025-01-02,Dinner,479,62.8
15,1,2025-01-02,Lunch,1008,800.0
16,1,2025-01-02,Breakfast,358,94.9
17,1,2025-01-02,Breakfast,2910,102.6
18,1,2025-01-02,Breakfast,464,36.4
19,1,2025-01-03,Lunch,244,102.7
20,1,2025-01-03,Snack,725,123.7
21,1,2025-01-03,Snack,298,46.9
22,1,2025-01-03,Dinner,259,128.6
23,1,2025-01-03,Breakfast,920,75.1
24,1,2025-01-03,Lunch,2886,78.2
25,1,2025-01-03,Dinner,1106,52.0
26,1,2025-01-03,Lunch,788,39.8
27,1,2025-01-03,Breakfast,652,365.7
28,1,2025-01-04,Dinner,2906,59.1
29,1,2025-01-04,Breakfast,2942,71.7
30,1,2025-01-04,Lunch,2941,50.5
31,1,2025-01-04,Breakfast,57,273.4
32,1,2025-01-04,Snack,873,77.2
33,1,2025-01-04,Dinner,133,62.3
34,1,2025-01-04,Dinner,586,67.9
35,1,2025-01-04,Lunch,47,377.3
36,1,2025-01-04,Dinner,829,148.6
37,1,2025-01-04,Lunch,952,109.9
38,1,2025-01-05,Dinner,263,43.6
39,1,2025-01-05,Snack,244,123.7
40,1,2025-01-05,Breakfast,473,55.3
41,1,2025-01-05,Snack,2910,525.7
42,1,2025-01-05,Lunch,941,34.1
43,1,2025-01-05,Snack,2878,413.9
44,1,2025-01-05,Dinner,2977,20.1
45,1,2025-01-06,Lunch,2928,100.8
46,1,2025-01-06,Dinner,1063,74.1
47,1,2025-01-06,Breakfast,174,315.5
48,1,2025-01-06,Breakfast,968,306.1
49,1,2025-01-06,Dinner,787,94.8
50,1,2025-01-06,Lunch,2950,87.5
51,1,2025-01-07,Lunch,2948,26.3
52,1,2025-01-07,Breakfast,155,65.9
53,1,2025-01-07,Lunch,972,77.4
54,1,2025-01-07,Dinner,581,147.3
55,1,2025-01-07,Dinner,583,156.5
56,1,2025-01-07,Dinner,530,521.5
57,1,2025-01-07,Lunch,505,206.8
58,1,2025-01-08,Dinner,990,492.6
59,1,2025-01-08,Dinner,956,171.2
60,1,2025-01-08,Dinner,732,340.3
61,1,2025-01-08,Dinner,591,61.5
62,1,2025-01-08,Breakfast,849,73.3
63,1,2025-01-08,Breakfast,216,78.1
64,1,2025-01-08,Dinner,735,20.0
65,1,2025-01-08,Lunch,123,185.1
66,1,2025-01-09,Snack,264,157.8
67,1,2025-01-09,Lunch,169,102.9
68,1,2025-01-09,Dinner,937,66.8
69,1,2025-01-09,Breakfast,1057,39.4
70,1,2025-01-09,Dinner,777,82.9
71,1,2025-01-09,Dinner,685,27.5
72,1,2025-01-09,Lunch,608,250.0
73,1,2025-01-10,Snack,1079,75.7
74,1,2025-01-10,Breakfast,858,118.3
75,1,2025-01-10,Breakfast,1,62.3
76,1,2025-01-10,Lunch,952,20.0
77,1,2025-01-10,Snack,211,72.9
78,1,2025-01-10,Lunch,209,309.2
79,1,2025-01-10,Lunch,315,162.8
80,1,2025-01-10,Dinner,997,20.0
81,1,2025-01-10,Breakfast,545,20.0
82,1,2025-01-11,Dinner,973,20.0
83,1,2025-01-11,Dinner,688,127.2
84,1,2025-01-11,Lunch,716,55.7
85,1,2025-01-11,Lunch,703,108.9
86,1,2025-01-11,Breakfast,311,187.7
87,1,2025-01-11,Breakfast,65,22.7
88,1,2025-01-11,Dinner,346,613.3
89,1,2025-01-11,Lunch,2942,176.2
90,1,2025-01-11,Dinner,609,20.0
91,1,2025-01-12,Lunch,629,29.6
92,1,2025-01-12,Lunch,2833,92.9
93,1,2025-01-12,Breakfast,68,336.4
94,1,2025-01-12,Breakfast,996,800.0
95,1,2025-01-12,Dinner,535,20.0
96,1,2025-01-12,Snack,5,178.0
97,1,2025-01-12,Dinner,1033,20.0
98,1,2025-01-12,Dinner,1041,114.6
99,1,2025-01-13,Breakfast,727,63.4
100,1,2025-01-13,Dinner,717,54.3
101,1,2025-01-13,Lunch,164,20.0
102,1,2025-01-13,Dinner,320,322.3
103,1,2025-01-13,Dinner,781,46.4
104,1,2025-01-13,Dinner,617,424.7
105,1,2025-01-13,Dinner,597,20.0
106,1,2025-01-13,Dinner,840,23.5
107,1,2025-01-14,Dinner,2936,70.3
108,1,2025-01-14,Dinner,208,113.3
109,1,2025-01-14,Dinner,383,330.3
110,1,2025-01-14,Breakfast,735,243.8
111,1,2025-01-14,Lunch,2780,20.0
112,1,2025-01-14,Lunch,2907,53.9
113,1,2025-01-15,Snack,655,20.0
114,1,2025-01-15,Lunch,840,61.4
115,1,2025-01-15,Dinner,2848,27.1
116,1,2025-01-15,Breakfast,172,292.6
117,1,2025-01-15,Dinner,318,74.7
118,1,2025-01-15,Dinner,942,91.7
119,1,2025-01-15,Dinner,242,73.0
120,1,2025-01-15,Dinner,122,20.0
121,1,2025-01-15,Breakfast,252,173.4
122,1,2025-01-15,Snack,848,102.1
123,1,2025-01-16,Dinner,2887,39.4
124,1,2025-01-16,Lunch,634,93.6
125,1,2025-01-16,Snack,2791,102.9
126,1,2025-01-16,Lunch,83,117.2
127,1,2025-01-16,Dinner,200,490.9
128,1,2025-01-16,Snack,2976,233.2
129,1,2025-01-16,Dinner,220,94.3
130,1,2025-01-16,Lunch,356,20.0
131,1,2025-01-17,Dinner,203,20.0
132,1,2025-01-17,Lunch,2884,294.4
133,1,2025-01-17,Breakfast,378,326.9
134,1,2025-01-17,Snack,501,20.0
135,1,2025-01-17,Breakfast,1100,60.2
136,1,2025-01-17,Dinner,131,172.8
137,1,2025-01-17,Breakfast,2858,595.3
138,1,2025-01-18,Dinner,861,68.4
139,1,2025-01-18,Dinner,968,270.4
140,1,2025-01-18,Breakfast,392,29.7
141,1,2025-01-18,Breakfast,514,401.4
142,1,2025-01-18,Lunch,274,197.5
143,1,2025-01-18,Dinner,2828,95.2
144,1,2025-01-18,Snack,351,39.6
145,1,2025-01-19,Dinner,187,183.6
146,1,2025-01-19,Lunch,593,277.0
147,1,2025-01-19,Snack,574,234.4
148,1,2025-01-19,Dinner,182,33.0
149,1,2025-01-19,Snack,61,27.0
150,1,2025-01-19,Lunch,2801,40.1
151,1,2025-01-19,Dinner,218,96.2
152,1,2025-01-19,Lunch,320,22.6
153,1,2025-01-20,Lunch,2790,800.0
154,1,2025-01-20,Breakfast,814,20.0
155,1,2025-01-20,Lunch,673,79.0
156,1,2025-01-20,Snack,511,392.2
157,1,2025-01-20,Snack,249,286.3
158,1,2025-01-20,Lunch,910,231.2
159,1,2025-01-20,Breakfast,993,715.4
160,1,2025-01-21,Lunch,807,20.0
161,1,2025-01-21,Breakfast,2799,48.6
162,1,2025-01-21,Lunch,628,287.2
163,1,2025-01-21,Breakfast,1084,80.1
164,1,2025-01-21,Lunch,98,106.7
165,1,2025-01-21,Lunch,1048,405.2
166,1,2025-01-21,Dinner,2900,60.8
167,1,2025-01-21,Snack,442,65.2
168,1,2025-01-21,Dinner,784,153.1
169,1,2025-01-21,Snack,150,140.5
170,1,2025-01-22,Lunch,1019,63.8
171,1,2025-01-22,Dinner,2829,204.0
172,1,2025-01-22,Lunch,717,34.9
173,1,2025-01-22,Breakfast,2993,24.2
174,1,2025-01-22,Lunch,54,258.7
175,1,2025-01-22,Dinner,445,95.0
176,1,2025-01-22,Dinner,696,218.3
177,1,2025-01-23,Breakfast,865,284.1
178,1,2025-01-23,Snack,134,93.6
179,1,2025-01-23,Dinner,703,254.5
180,1,2025-01-23,Lunch,65,43.5
181,1,2025-01-23,Snack,506,20.0
182,1,2025-01-23,Breakfast,2918,67.6
183,1,2025-01-23,Dinner,1040,77.0
184,1,2025-01-23,Lunch,550,146.3
185,1,2025-01-23,Dinner,46,703.8
186,1,2025-01-24,Dinner,842,72.9
187,1,2025-01-24,Lunch,1033,236.0
188,1,2025-01-24,Dinner,120,24.2
189,1,2025-01-24,Dinner,2783,242.5
190,1,2025-01-24,Dinner,788,201.6
191,1,2025-01-24,Dinner,173,26.2
192,1,2025-01-24,Breakfast,109,166.5
193,1,2025-01-24,Snack,2989,77.2
194,1,2025-01-25,Snack,59,101.0
195,1,2025-01-25,Breakfast,2996,283.1
196,1,2025-01-25,Dinner,2887,118.4
197,1,2025-01-25,Dinner,515,20.0
198,1,2025-01-25,Breakfast,111,284.1
199,1,2025-01-25,Breakfast,332,78.5
200,1,2025-01-25,Lunch,208,20.0
201,1,2025-01-25,Dinner,120,142.0
202,1,2025-01-26,Dinner,885,20.0
203,1,2025-01-26,Snack,891,55.2
204,1,2025-01-26,Lunch,110,42.6
205,1,2025-01-26,Dinner,127,190.2
206,1,2025-01-26,Dinner,258,281.4
207,1,2025-01-26,Dinner,417,298.4
208,1,2025-01-26,Dinner,32,75.4
209,1,2025-01-27,Breakfast,796,81.8
210,1,2025-01-27,Breakfast,423,123.9
211,1,2025-01-27,Breakfast,123,64.1
212,1,2025-01-27,Lunch,186,138.1
213,1,2025-01-27,Breakfast,1068,20.0
214,1,2025-01-27,Dinner,1014,800.0
215,1,2025-01-28,Dinner,552,270.6
216,1,2025-01-28,Lunch,498,20.0
217,1,2025-01-28,Lunch,319,21.2
218,1,2025-01-28,Lunch,475,38.3
219,1,2025-01-28,Lunch,2907,182.8
220,1,2025-01-28,Breakfast,693,82.5
221,1,2025-01-28,Dinner,2954,223.2
222,1,2025-01-28,Breakfast,960,241.6
223,1,2025-01-29,Dinner,42,20.0
224,1,2025-01-29,Snack,2968,444.9
225,1,2025-01-29,Breakfast,553,135.0
226,1,2025-01-29,Breakfast,96,20.0
227,1,2025-01-29,Dinner,742,30.3
228,1,2025-01-29,Lunch,511,158.7
229,1,2025-01-29,Lunch,693,36.1
230,1,2025-01-29,Dinner,1031,150.4
231,1,2025-01-29,Lunch,910,318.2
232,1,2025-01-29,Breakfast,691,284.9
233,1,2025-01-30,Breakfast,2897,255.6
234,1,2025-01-30,Lunch,14,20.0
235,1,2025-01-30,Breakfast,942,28.6
236,1,2025-01-30,Breakfast,1080,43.2
237,1,2025-01-30,Lunch,722,84.3
238,1,2025-01-30,Breakfast,2859,800.0
239,1,2025-01-30,Snack,903,30.6
