set_id,session_id,exercise_id,set_number,reps,load_kg,rpe,rest_sec
1,1,56,1,9,39.01,7.8,190
2,1,56,2,11,38.23,8.4,137
3,1,56,3,9,38.12,7.8,108
4,1,141,1,10,66.11,8.2,151
5,1,141,2,11,66.37,7.2,128
6,1,141,3,8,63.57,7.0,167
7,1,408,1,11,36.86,8.1,117
8,1,408,2,10,45.23,8.8,119
9,1,408,3,9,45.45,8.1,74
10,1,408,4,11,43.23,8.5,166
11,1,91,1,8,53.19,7.6,107
12,1,91,2,11,42.24,9.1,151
13,1,14,1,12,68.49,8.0,170
14,1,14,2,8,64.98,8.1,107
15,2,261,1,8,86.78,8.6,155
16,2,261,2,12,94.56,7.0,145
17,2,261,3,13,84.82,8.5,112
18,2,185,1,13,47.67,8.4,108
19,2,185,2,14,46.91,7.2,81
20,2,185,3,12,58.61,8.4,60
21,2,185,4,10,58.38,9.4,169
22,2,330,1,9,81.31,7.8,71
23,2,330,2,11,84.03,8.8,136
24,2,80,1,9,66.38,8.1,86
25,2,80,2,12,63.38,8.0,125
26,2,80,3,9,54.28,8.9,143
27,2,265,1,14,40.34,8.5,100
28,2,265,2,13,43.4,7.7,102
29,2,325,1,9,43.32,7.3,106
30,2,325,2,9,50.26,7.6,142
31,2,325,3,9,49.16,7.3,140
32,3,20,1,8,38.67,7.3,112
33,3,20,2,12,37.93,7.8,124
34,3,20,3,10,29.77,8.0,114
35,3,20,4,8,40.67,6.3,145
36,3,111,1,10,58.34,9.1,124
37,3,111,2,11,67.89,7.5,180
38,3,111,3,11,67.77,8.0,141
39,3,243,1,10,51.87,7.9,107
40,3,243,2,9,58.51,8.8,101
41,3,243,3,9,65.46,7.5,140
42,3,266,1,8,51.18,7.0,83
43,3,266,2,10,50.77,8.6,171
44,4,228,1,8,37.97,7.5,81
45,4,228,2,11,43.1,8.5,164
46,4,228,3,14,36.51,7.7,113
47,4,228,4,8,42.37,8.2,93
48,4,206,1,14,51.39,7.2,124
49,4,206,2,12,50.99,7.7,131
50,4,32,1,9,43.33,8.4,117
51,4,32,2,9,47.31,7.2,117
52,4,175,1,12,76.84,7.4,111
53,4,175,2,8,70.78,7.4,107
54,4,175,3,9,65.31,7.8,123
55,5,70,1,8,44.45,7.8,122
56,5,70,2,13,39.46,7.8,111
57,5,70,3,13,39.06,6.9,118
58,5,229,1,13,42.73,7.2,120
59,5,229,2,14,50.88,7.9,107
60,5,229,3,13,47.0,7.8,68
61,5,171,1,14,64.51,7.5,156
62,5,171,2,14,68.81,8.4,86
63,5,171,3,11,54.83,7.1,85
64,5,260,1,12,53.96,7.7,65
65,5,260,2,14,47.81,9.2,145
66,5,340,1,13,28.27,7.9,149
67,5,340,2,13,24.61,8.1,143
68,5,127,1,12,54.35,7.7,83
69,5,127,2,8,57.71,7.6,118
70,6,272,1,10,30.01,9.2,96
71,6,272,2,12,30.3,9.2,148
72,6,272,3,11,32.16,8.7,173
73,6,272,4,8,25.61,7.9,154
74,6,272,5,8,31.5,8.4,201
75,6,149,1,11,23.51,8.6,161
76,6,149,2,13,25.44,8.7,91
77,6,94,1,9,82.89,6.5,68
78,6,94,2,13,61.31,7.2,160
79,6,315,1,8,54.37,6.6,135
80,6,315,2,14,52.78,7.3,101
81,6,315,3,14,58.65,8.7,103
82,6,327,1,14,62.83,7.3,125
83,6,327,2,14,53.22,7.2,139
84,7,249,1,8,31.85,8.9,125
85,7,249,2,13,37.5,8.1,115
86,7,249,3,10,38.99,6.7,109
87,7,107,1,12,31.43,7.8,153
88,7,107,2,13,32.77,6.4,86
89,7,107,3,14,33.39,8.6,70
90,7,375,1,14,36.54,8.6,82
91,7,375,2,13,34.04,8.5,60
92,7,375,3,8,36.18,8.5,115
93,7,375,4,13,31.72,7.5,103
94,7,69,1,9,22.22,8.6,135
95,7,69,2,9,22.62,8.1,135
96,7,69,3,11,23.12,8.0,114
97,8,169,1,11,42.43,7.2,159
98,8,169,2,11,43.74,8.4,94
99,8,169,3,8,48.17,7.3,149
100,8,169,4,8,42.35,8.4,169
101,8,166,1,11,36.15,7.5,98
102,8,166,2,10,47.63,7.3,147
103,8,4,1,9,49.56,7.1,78
104,8,4,2,13,48.04,8.2,119
105,8,4,3,13,43.0,7.1,123
106,8,242,1,10,40.16,8.7,106
107,8,242,2,13,35.51,7.7,86
108,8,242,3,11,38.58,7.6,150
109,8,7,1,12,55.03,7.7,77
110,8,7,2,14,73.94,6.1,141
111,8,7,3,11,65.91,8.2,131
112,9,12,1,12,44.3,7.6,91
113,9,12,2,11,41.85,8.7,98
114,9,12,3,8,36.79,8.7,121
115,9,234,1,8,45.72,9.1,111
116,9,234,2,12,53.81,8.4,112
117,9,335,1,14,49.16,7.3,109
118,9,335,2,8,46.76,9.1,186
119,9,335,3,12,47.42,7.2,162
120,9,335,4,9,42.16,8.8,95
121,9,335,5,8,49.18,7.4,139
122,9,307,1,10,30.53,8.7,110
123,9,307,2,13,31.09,7.6,87
124,9,307,3,10,28.02,8.1,150
125,9,307,4,14,26.48,7.8,136
126,9,307,5,8,31.41,8.6,125
127,9,26,1,13,36.51,8.4,171
128,9,26,2,11,33.4,8.2,156
129,10,242,1,12,49.23,7.9,114
130,10,242,2,10,47.41,8.4,165
131,10,242,3,11,59.03,8.8,113
132,10,265,1,13,55.19,7.6,186
133,10,265,2,11,64.41,7.1,134
134,10,265,3,8,57.03,9.0,92
135,10,166,1,11,44.79,8.0,153
136,10,166,2,13,45.26,7.9,157
137,10,7,1,8,31.83,7.1,128
138,10,7,2,14,30.81,7.8,147
139,10,392,1,12,50.84,8.0,117
140,10,392,2,13,60.84,7.0,184
141,11,96,1,11,41.81,6.9,90
142,11,96,2,10,50.39,7.8,92
143,11,96,3,12,43.46,7.5,107
144,11,96,4,10,40.95,8.4,169
145,11,299,1,11,42.72,6.8,146
146,11,299,2,10,51.71,7.7,129
147,11,299,3,12,47.68,7.9,161
148,11,279,1,8,45.4,8.3,155
149,11,279,2,14,44.11,7.5,90
150,11,201,1,13,32.65,9.1,167
151,11,201,2,11,29.89,7.5,77
152,11,56,1,10,57.28,7.1,118
153,11,56,2,12,60.09,8.3,80
154,11,343,1,14,55.11,8.0,140
155,11,343,2,11,61.04,6.6,191
156,12,46,1,9,34.53,8.7,82
157,12,46,2,10,39.82,8.3,135
158,12,278,1,12,47.6,8.4,100
159,12,278,2,11,50.79,7.9,127
160,12,79,1,9,71.52,6.7,135
161,12,79,2,8,78.61,7.2,178
162,12,4,1,11,19.38,6.5,128
163,12,4,2,10,20.32,8.4,117
164,12,4,3,10,21.41,7.8,118
165,12,204,1,11,31.36,7.5,79
166,12,204,2,14,35.73,7.0,129
167,12,204,3,11,42.96,7.3,118
168,12,404,1,11,14.63,7.0,98
169,12,404,2,8,15.15,7.4,148
170,13,95,1,11,71.83,8.6,92
171,13,95,2,14,68.64,7.6,69
172,13,95,3,11,75.64,8.3,105
173,13,214,1,9,4.72,8.1,70
174,13,214,2,10,4.97,6.8,99
175,13,273,1,11,28.73,7.0,131
176,13,273,2,9,26.29,8.5,126
177,13,247,1,13,49.27,7.6,126
178,13,247,2,11,51.93,8.4,153
179,14,37,1,14,12.39,7.6,121
180,14,37,2,12,11.77,7.7,120
181,14,37,3,13,13.57,8.1,60
182,14,37,4,10,12.04,7.2,143
183,14,72,1,8,55.59,6.4,81
184,14,72,2,8,58.33,7.5,108
185,14,201,1,10,89.52,7.9,144
186,14,201,2,14,99.28,7.8,96
187,14,100,1,10,62.23,9.0,141
188,14,100,2,9,61.27,9.3,110
189,14,100,3,8,57.28,7.9,68
190,14,126,1,9,23.18,8.3,145
191,14,126,2,10,26.84,8.2,92
192,15,278,1,10,49.75,7.9,90
193,15,278,2,9,57.03,8.1,141
194,15,278,3,8,52.2,8.7,113
195,15,416,1,8,47.11,7.6,109
196,15,416,2,8,53.07,8.2,126
197,15,185,1,10,20.84,7.4,160
198,15,185,2,11,19.39,8.8,106
199,15,185,3,12,22.52,7.1,148
200,15,70,1,14,51.58,9.0,120
201,15,70,2,11,61.96,7.5,136
202,15,70,3,9,55.17,8.4,82
203,15,70,4,8,60.5,6.2,127
204,16,351,1,11,49.73,8.5,166
205,16,351,2,10,45.78,8.4,101
206,16,351,3,12,47.52,8.2,183
207,16,386,1,8,49.1,8.0,89
208,16,386,2,13,41.48,7.8,95
209,16,172,1,8,60.38,7.2,124
210,16,172,2,11,55.14,8.2,106
211,16,12,1,13,35.69,8.8,132
212,16,12,2,13,37.85,6.4,66
213,17,71,1,10,28.85,6.2,78
214,17,71,2,13,29.31,7.3,146
215,17,71,3,14,28.36,8.8,208
216,17,71,4,10,28.72,6.6,102
217,17,377,1,11,81.03,8.0,138
218,17,377,2,14,61.63,7.2,132
219,17,377,3,11,73.51,7.2,103
220,17,312,1,10,79.25,6.5,175
221,17,312,2,9,88.12,7.4,146
222,17,312,3,13,95.62,7.8,130
223,17,312,4,14,82.89,8.9,93
224,17,403,1,13,75.66,7.7,60
225,17,403,2,9,78.26,8.1,82
226,17,48,1,13,29.72,7.2,89
227,17,48,2,14,28.04,7.1,82
228,18,163,1,14,38.51,6.8,134
229,18,163,2,10,49.88,7.8,146
230,18,163,3,13,42.35,7.1,83
231,18,163,4,12,36.95,8.1,159
232,18,217,1,13,26.3,7.8,112
233,18,217,2,14,24.97,8.3,106
234,18,217,3,9,25.43,7.7,155
235,18,217,4,9,25.76,6.9,165
236,18,397,1,10,55.14,7.9,102
237,18,397,2,11,60.6,8.3,116
238,18,397,3,8,58.97,8.3,159
239,18,70,1,12,46.22,8.0,156
240,18,70,2,10,42.08,7.7,151
241,18,70,3,10,44.49,7.8,102
242,18,70,4,13,47.1,7.9,136
243,19,256,1,10,68.76,7.1,132
244,19,256,2,12,63.63,8.3,100
245,19,256,3,14,67.0,7.3,107
246,19,267,1,13,46.18,7.3,95
247,19,267,2,8,45.01,8.3,87
248,19,267,3,8,42.13,7.5,137
249,19,376,1,12,32.55,9.0,115
250,19,376,2,10,31.53,8.1,138
251,19,376,3,9,29.64,7.0,81
252,19,376,4,9,33.33,8.4,143
253,19,34,1,10,64.08,7.6,126
254,19,34,2,12,65.98,8.5,154
255,19,34,3,14,71.57,9.1,173
256,19,207,1,9,50.04,7.4,102
257,19,207,2,8,49.45,8.8,129
258,20,377,1,8,50.91,8.4,115
259,20,377,2,14,52.63,7.9,125
260,20,377,3,12,52.38,7.3,128
261,20,344,1,12,15.03,7.2,154
262,20,344,2,9,13.71,7.1,149
263,20,344,3,10,14.54,6.8,94
264,20,364,1,11,42.19,8.1,83
265,20,364,2,12,36.55,7.2,152
266,20,364,3,12,33.28,7.2,64
267,20,66,1,13,17.42,7.8,105
268,20,66,2,12,19.45,8.1,113
269,20,66,3,13,18.2,8.0,126
270,20,66,4,10,21.19,8.0,145
271,21,301,1,12,38.07,9.0,73
272,21,301,2,12,33.84,7.8,86
273,21,301,3,9,37.51,6.9,83
274,21,301,4,9,42.22,8.2,171
275,21,155,1,9,32.08,8.2,129
276,21,155,2,12,27.7,7.4,168
277,21,155,3,10,34.76,8.0,149
278,21,229,1,14,46.38,7.4,135
279,21,229,2,8,61.79,8.7,154
280,21,128,1,9,53.16,8.1,169
281,21,128,2,8,47.86,6.9,141
282,21,384,1,8,41.27,6.5,131
283,21,384,2,12,37.41,7.4,88
284,21,384,3,10,41.68,8.9,82
285,22,12,1,9,30.15,6.7,121
286,22,12,2,11,34.13,7.8,88
287,22,394,1,13,36.43,7.4,153
288,22,394,2,12,36.46,9.2,118
289,22,90,1,14,69.06,7.5,102
290,22,90,2,11,71.48,8.4,169
291,22,190,1,9,53.28,7.5,120
292,22,190,2,9,48.13,7.7,60
293,22,190,3,8,58.75,7.2,126
294,22,406,1,14,46.19,7.2,99
295,22,406,2,10,43.51,8.0,103
296,22,406,3,8,41.97,8.8,144
297,23,279,1,13,58.88,6.7,81
298,23,279,2,13,62.27,7.2,155
299,23,279,3,8,56.16,6.7,143
300,23,279,4,11,61.54,6.6,198
301,23,121,1,11,58.48,8.0,131
302,23,121,2,14,62.13,7.7,132
303,23,371,1,12,26.67,6.7,116
304,23,371,2,14,23.08,7.7,60
305,23,371,3,9,24.5,8.9,137
306,23,371,4,10,22.62,7.1,159
307,23,20,1,10,32.5,8.0,89
308,23,20,2,14,30.03,9.0,126
309,23,253,1,12,33.71,8.0,120
310,23,253,2,10,34.63,8.4,98
311,23,253,3,10,29.12,7.7,139
312,23,173,1,8,72.19,7.8,106
313,23,173,2,11,82.49,7.9,106
314,23,173,3,9,66.09,6.4,155
315,24,351,1,14,38.0,8.0,132
316,24,351,2,12,38.74,6.5,85
317,24,351,3,11,43.1,7.3,130
318,24,328,1,9,53.23,7.8,103
319,24,328,2,12,60.77,8.7,99
320,24,328,3,10,56.8,7.9,133
321,24,413,1,12,30.45,7.6,123
322,24,413,2,12,32.81,6.7,140
323,24,413,3,8,29.58,7.3,140
324,24,315,1,14,45.0,7.1,131
325,24,315,2,12,43.09,8.8,112
326,24,315,3,10,42.05,7.4,98
327,25,70,1,12,50.21,6.4,102
328,25,70,2,13,34.36,7.8,172
329,25,70,3,10,47.41,7.1,60
330,25,291,1,9,48.44,7.6,125
331,25,291,2,14,39.84,8.6,131
332,25,291,3,10,46.6,7.3,108
333,25,65,1,8,63.43,8.1,148
334,25,65,2,10,48.77,7.6,125
335,25,65,3,12,58.57,8.0,110
336,25,65,4,10,57.91,8.4,110
337,25,216,1,14,48.39,7.3,86
338,25,216,2,8,57.18,8.8,122
339,25,151,1,9,36.77,8.0,128
340,25,151,2,10,35.21,8.4,87
341,26,394,1,10,52.76,8.1,129
342,26,394,2,9,65.77,7.3,128
343,26,394,3,12,60.3,6.7,115
344,26,181,1,14,56.37,8.6,73
345,26,181,2,13,57.3,6.5,84
346,26,181,3,13,55.75,8.1,96
347,26,109,1,9,55.88,6.7,95
348,26,109,2,13,53.81,7.5,97
349,26,109,3,14,51.86,9.2,111
350,26,206,1,8,51.04,7.9,107
351,26,206,2,9,56.25,7.6,135
352,26,206,3,12,59.34,7.9,111
353,26,29,1,14,33.43,8.1,105
354,26,29,2,14,34.65,7.4,162
355,27,280,1,13,39.46,8.0,157
356,27,280,2,12,42.16,7.4,126
357,27,280,3,8,36.41,8.1,121
358,27,353,1,8,48.08,8.0,99
359,27,353,2,14,49.09,8.2,126
360,27,291,1,13,33.99,8.0,202
361,27,291,2,12,35.66,8.6,149
362,27,127,1,11,47.42,7.6,131
363,27,127,2,8,51.1,7.6,166
364,27,127,3,13,49.38,8.8,82
365,27,127,4,9,54.41,7.5,140
366,27,231,1,11,56.63,8.3,97
367,27,231,2,9,51.94,6.0,145
368,28,9,1,13,52.36,7.9,104
369,28,9,2,9,46.95,7.1,167
370,28,9,3,8,43.55,7.7,104
371,28,9,4,10,45.12,9.1,114
372,28,417,1,10,37.52,9.4,108
373,28,417,2,8,38.58,7.8,128
374,28,273,1,9,15.2,6.7,115
375,28,273,2,10,16.04,9.0,162
376,28,351,1,9,41.68,7.4,122
377,28,351,2,9,59.11,7.5,127
378,28,351,3,14,52.95,8.2,134
379,28,134,1,13,63.68,7.0,96
380,28,134,2,13,55.86,7.0,137
381,28,134,3,10,73.37,7.2,150
382,29,220,1,10,45.65,8.4,127
383,29,220,2,14,50.64,7.0,60
384,29,220,3,13,50.9,8.9,119
385,29,323,1,10,58.83,8.1,91
386,29,323,2,14,78.81,7.1,139
387,29,323,3,10,68.69,7.0,114
388,29,323,4,8,71.93,7.7,128
389,29,261,1,9,51.24,8.3,115
390,29,261,2,10,57.59,7.5,109
391,29,70,1,10,49.3,7.3,96
392,29,70,2,8,53.73,8.7,128
393,29,70,3,10,46.94,6.6,150
394,30,382,1,10,60.3,7.4,148
395,30,382,2,9,61.64,7.4,144
396,30,327,1,9,44.02,8.2,78
397,30,327,2,14,47.55,7.7,150
398,30,327,3,13,42.86,8.0,82
399,30,327,4,12,42.4,9.3,131
400,30,227,1,13,72.29,7.9,119
401,30,227,2,11,69.01,7.1,151
402,30,227,3,8,58.36,8.3,114
403,30,227,4,13,62.43,8.8,90
404,30,77,1,12,48.94,7.8,99
405,30,77,2,11,57.53,7.7,105
406,30,77,3,11,65.33,8.4,152
407,30,77,4,13,53.51,6.8,127
408,31,411,1,9,26.15,8.5,134
409,31,411,2,12,21.56,8.9,173
410,31,23,1,11,52.01,8.7,108
411,31,23,2,11,51.29,8.0,82
412,31,23,3,12,60.54,8.2,140
413,31,23,4,10,54.1,7.8,146
414,31,339,1,9,26.67,7.6,89
415,31,339,2,10,30.74,9.0,101
416,31,339,3,12,26.31,7.4,130
417,31,234,1,8,78.38,6.6,133
418,31,234,2,8,84.02,8.2,138
419,32,400,1,11,47.91,6.8,125
420,32,400,2,13,54.13,9.0,164
421,32,219,1,14,53.86,7.2,132
422,32,219,2,13,50.49,7.2,102
423,32,130,1,14,50.21,7.2,115
424,32,130,2,13,43.99,9.7,107
425,32,96,1,11,37.52,7.8,105
426,32,96,2,12,43.77,8.3,139
427,32,37,1,11,42.1,7.7,147
428,32,37,2,12,37.15,8.6,166
429,32,39,1,10,58.35,7.1,158
430,32,39,2,10,54.69,8.8,146
431,32,39,3,11,59.42,7.6,123
432,33,154,1,13,71.67,6.9,140
433,33,154,2,12,64.07,7.5,151
434,33,395,1,10,65.33,7.6,111
435,33,395,2,8,59.83,7.7,88
436,33,395,3,10,55.68,8.2,160
437,33,395,4,14,57.97,7.9,119
438,33,387,1,8,51.64,6.9,139
439,33,387,2,8,57.89,7.9,149
440,33,94,1,12,63.79,8.3,113
441,33,94,2,12,63.12,8.6,126
442,34,263,1,11,41.62,7.3,72
443,34,263,2,13,36.45,7.8,151
444,34,263,3,9,37.56,8.2,130
445,34,263,4,14,43.69,7.3,106
446,34,13,1,13,38.31,7.4,125
447,34,13,2,14,37.74,7.6,140
448,34,13,3,12,38.76,8.0,65
449,34,114,1,14,51.74,9.1,72
450,34,114,2,12,48.97,7.2,109
451,34,114,3,12,49.15,8.0,95
452,34,114,4,8,53.82,8.2,147
453,34,114,5,13,49.05,8.1,131
454,34,299,1,13,53.94,8.2,109
455,34,299,2,13,52.38,6.6,134
456,34,87,1,14,33.42,8.0,170
457,34,87,2,11,32.06,8.7,135
458,35,289,1,10,46.62,8.3,137
459,35,289,2,13,51.91,7.9,60
460,35,138,1,9,42.2,9.0,119
461,35,138,2,11,52.86,9.2,145
462,35,138,3,9,50.03,7.0,143
463,35,138,4,11,44.96,6.4,140
464,35,138,5,10,48.96,8.1,101
465,35,168,1,10,17.26,6.2,144
466,35,168,2,8,14.07,8.0,140
467,35,266,1,14,61.73,7.6,129
468,35,266,2,8,65.58,8.2,129
469,35,401,1,10,53.67,8.0,106
470,35,401,2,10,49.05,8.2,135
471,35,126,1,11,42.59,7.2,198
