"name_exercise";"muscle_group";"rating_exercise"
"Rickshaw Carry";"Forearms";9.6
"Single-Leg Press";"Quadriceps";9.6
"Landmine twist";"Abdominals";9.5
"Weighted pull-up";"Lats";9.5
"T-Bar Row with Handle";"Middle Back";9.5
"Palms-down wrist curl over bench";"Forearms";9.5
"Atlas Stones";"Lower Back";9.5
"Dumbbell front raise to lateral raise";"Shoulders";9.5
"Clean from Blocks";"Quadriceps";9.5
"Incline Hammer Curls";"Biceps";9.5
"Straight-bar wrist roll-up";"Forearms";9.5
"Barbell glute bridge";"Glutes";9.4
"Clean and press";"Shoulders";9.4
"Triceps dip";"Triceps";9.4
"Dumbbell farmer's walk";"Forearms";9.4
"Palms-up wrist curl over bench";"Forearms";9.4
"Barbell Full Squat";"Quadriceps";9.4
"Barbell deficit deadlift";"Lower Back";9.4
"Barbell Deadlift";"Hamstrings";9.4
"Single-arm palm-in dumbbell shoulder press";"Shoulders";9.4
"Romanian Deadlift With Dumbbells";"Hamstrings";9.4
"Tire flip";"Quadriceps";9.4
"Clean Deadlift";"Hamstrings";9.4
"Elbow plank";"Abdominals";9.3
"Bottoms Up";"Abdominals";9.3
"Barbell back squat to box";"Quadriceps";9.3
"Clean and jerk";"Shoulders";9.3
"Single-arm kettlebell push-press";"Shoulders";9.3
"Push-press";"Quadriceps";9.3
"Suspended ab fall-out";"Abdominals";9.3
"Military press";"Shoulders";9.3
"Power snatch-";"Quadriceps";9.3
"Sumo deadlift";"Hamstrings";9.3
"Hang Clean";"Quadriceps";9.3
"Dumbbell V-Sit Cross Jab";"Abdominals";9.3
"Reverse Band Box Squat";"Quadriceps";9.3
"Standing palms-in shoulder press";"Shoulders";9.3
"Standing cable low-to-high twist";"Abdominals";9.3
"Decline EZ-bar skullcrusher";"Triceps";9.3
"Standing behind-the-back wrist curl";"Forearms";9.3
"Seated finger curl";"Forearms";9.3
"Wide-grip barbell curl";"Biceps";9.3
"Dumbbell spell caster";"Abdominals";9.3
"Dumbbell floor press";"Triceps";9.3
"Lying Face Down Plate Neck Resistance";"Neck";9.3
"Pullups";"Lats";9.2
"Decline reverse crunch";"Abdominals";9.2
"Dumbbell Bench Press";"Chest";9.2
"Jumping rope";"Quadriceps";9.2
"Seated barbell shoulder press";"Shoulders";9.2
"EZ-bar spider curl";"Biceps";9.2
"Smith machine shrug";"Traps";9.2
"Smith Machine Calf Raise";"Calves";9.2
"Romanian Deadlift from Deficit";"Hamstrings";9.2
"Power Snatch";"Hamstrings";9.2
"Pushups";"Chest";9.2
"Barbell walking lunge";"Quadriceps";9.2
"Front Squats With Two Kettlebells";"Quadriceps";9.2
"Spider crawl";"Abdominals";9.2
"Power Clean from Blocks";"Hamstrings";9.2
"Single Leg Push-off";"Quadriceps";9.2
"Hip Circles (Prone)";"Abductors";9.2
"Reverse-grip bent-over row";"Middle Back";9.2
"Seated Two-Arm Palms-Up Low-Pulley Wrist Curl";"Forearms";9.2
"Back extension";"Lower Back";9.1
"Close-grip bench press";"Chest";9.1
"Cocoons";"Abdominals";9.1
"Cross-Body Crunch";"Abdominals";9.1
"Dumbbell Flyes";"Chest";9.1
"Hammer Curls";"Biceps";9.1
"Incline dumbbell bench press";"Chest";9.1
"Low-cable cross-over";"Chest";9.1
"Single-arm high-cable side bend";"Abdominals";9.1
"Seated Dumbbell Press";"Shoulders";9.1
"Standing dumbbell shoulder press";"Shoulders";9.1
"Single Leg Push-off";"Quadriceps";9.2
"Hip Circles (Prone)";"Abductors";9.2
"Reverse-grip bent-over row";"Middle Back";9.2
"Seated Two-Arm Palms-Up Low-Pulley Wrist Curl";"Forearms";9.2
"Back extension";"Lower Back";9.1
"Close-grip bench press";"Chest";9.1
"Cocoons";"Abdominals";9.1
"Cross-Body Crunch";"Abdominals";9.1
"Dumbbell Flyes";"Chest";9.1
"Hammer Curls";"Biceps";9.1
"Incline dumbbell bench press";"Chest";9.1
"Seated Dumbbell Press";"Shoulders";9.1
"Standing dumbbell shoulder press";"Shoulders";9.1
"EZ-Bar Curl";"Biceps";9.1
"Olympic Squat";"Quadriceps";9.1
"Natural Glute Ham Raise";"Hamstrings";9.1
"Axle Deadlift";"Lower Back";9.1
"Zottman Curl";"Biceps";9.1
"Glute ham raise-";"Hamstrings";9.1
"Single-arm lateral raise";"Shoulders";9.1
"Power Partials";"Shoulders";9.1
"Leverage Shrug";"Traps";9.1
"Cable V-bar push-down";"Triceps";9.1
"Wrist Roller";"Forearms";9.1
"Incline dumbbell reverse fly";"Shoulders";9.1
"Stair climber";"Quadriceps";9.1
"Elbow-to-knee crunch";"Abdominals";9.1
"Kettlebell Pistol Squat";"Quadriceps";9.1
"Overhead dumbbell front raise";"Shoulders";9.1
"Biceps curl to shoulder press";"Biceps";9.1
"Weighted bench dip";"Triceps";9.1
"Barbell Hip Thrust";"Glutes";9.1
"Forward lunge";"Quadriceps";9.0
"Barbell Bench Press - Medium Grip";"Chest";9.0
"Chest dip";"Chest";9.0
"Seated dumbbell shoulder press";"Shoulders";9.0
"Barbell Curl";"Biceps";9.0
"EZ-Bar Skullcrusher";"Triceps";9.0
"One-Arm Dumbbell Row";"Middle Back";9.0
